unigram,frequency
mula,3
belah,3
superal,3
layar,3
statement,3
process,3
faktor,3
ahmad,3
mewah,3
nyimak,3
cia,3
intelejen,3
poll,3
kisi,3
maryam,3
sengaja,3
kasihan,3
siplester,3
generasi,3
laptop,3
gondrong,3
tikus,3
visual,3
wkwkkw,3
acara,3
narsum,3
wih,3
balik,3
bejorka,3
tentara,3
kominfo,3
lagu,3
obok,3
umum,3
alangkah,3
program,3
diam,3
tamu,3
haus,3
safe,3
investigasi,3
siber,3
teknokrat,3
wujud,3
tenang,3
jepang,3
iklan,3
kunci,3
per,3
duke,3
can,3
hah,3
red,3
root,3
botak,3
white,3
black,3
bantuin,2
karyawan,2
ijin,2
narapidana,2
partai,2
profesional,2
ahh,2
dagel,2
tajam,2
didik,2
ras,2
imam,2
lumpuh,2
kaki,2
anakanak,2
stiap,2
tuduh,2
cara,2
nasionalisme,2
benarbenar,2
religius,2
salut,2
tsunami,2
miras,2
parkir,2
bar,2
lho,2
sangt,2
pengaruh,2
ormas,2
harusny,2
cegah,2
level,2
dewa,2
musik,2
volume,2
ngaruh,2
begitu,2
posisi,2
pke,2
hedeh,2
hujan,2
polresta,2
pangkal,2
pinang,2
bangka,2
belitung,2
provinsi,2
silau,2
wadidaw,2
puter,2
lanjut,2
paro,2
lepasin,2
peras,2
nuntut,2
kingg,2
temu,2
ngambil,2
rokok,2
wes,2
cumn,2
ngajak,2
nongkrong,2
ngatur,2
lalulintas,2
cahaya,2
muak,2
gilak,2
skenario,2
cafe,2
teriak,2
tawur,2
bntr,2
dokumen,2
borok,2
syulit,2
blablabla,2
administrasi,2
pakpol,2
jajan,2
gercep,2
bpkb,2
legal,2
iseng,2
layang,2
bejibun,2
pingin,2
bgini,2
kbiasaan,2
masyrakat,2
cpt,2
tanggungjawab,2
laka,2
polsekpolres,2
obat,2
pandai,2
adl,2
hindar,2
profesi,2
bobyenugraha,2
dominan,2
suami,2
dsini,2
lolos,2
sampek,2
nutup,2
asa,2
selfi,2
kampung,2
sndiri,2
glowing,2
idam,2
calon,2
assalamualaikum,2
mpersegi,2
usahadan,2
timur,2
indomart,2
ininol,2
sajasurat,2
shm,2
kos,2
hun,2
gubris,2
pernh,2
benderang,2
asing,2
mundur,2
tmbh,2
acab,2
nemuin,2
berangkat,2
laut,2
siang,2
gajih,2
bus,2
murid,2
plongo,2
serakah,2
kayu,2
rubah,2
super,2
duli,2
pilis,2
moral,2
knalpot,2
selang,2
tmn,2
liar,2
adem,2
langka,2
nepal,2
ceburin,2
kmrn,2
ulti,2
siksa,2
kejam,2
reguler,2
langgar,2
perwira,2
tir,2
independen,2
integritas,2
akhirat,2
smoga,2
kesel,2
gda,2
taun,2
satria,2
kotor,2
balas,2
betul,2
sampah,2
liberasi,2
edar,2
biang,2
kerok,2
post,2
lempar,2
jarak,2
gera,2
amanah,2
update,2
smpai,2
mintain,2
simpang,2
acting,2
standby,2
counter,2
gempar,2
siap,2
sop,2
dalang,2
serta,2
irwandi,2
singgung,2
juara,2
rumor,2
wew,2
esemka,2
salin,2
claim,2
singapur,2
ugm,2
panci,2
slh,2
konfirmasi,2
denimallik,2
pasar,2
abah,2
agen,2
konteks,2
sebar,2
koment,2
sii,2
nyampe,2
komentar,2
ohh,2
dosa,2
jud,2
medan,2
papua,2
benerin,2
andal,2
gorong,2
etik,2
nyaman,2
sah,2
der,2
basah,2
transaksi,2
pjabat,2
hood,2
sempat,2
tega,2
motif,2
cil,2
corbuzier,2
tar,2
kuping,2
sragam,2
tutupin,2
sndri,2
zonk,2
nominal,2
layak,2
gunung,2
ttp,2
patungan,2
rakyak,2
hormat,2
verifikasi,2
valid,2
konflik,2
pampang,2
zaman,2
panduabpr,2
naikin,2
apus,2
ngeliatin,2
edukasi,2
bwang,2
berjutajuta,2
polos,2
woii,2
pasang,2
brok,2
pemuda,2
karu,2
api,2
dikatain,2
netizenmana,2
betull,2
sarkas,2
share,2
tuk,2
simpati,2
indonesiaa,2
segitu,2
ponakan,2
perempuan,2
smpe,2
jajah,2
mikirin,2
juang,2
blackhat,2
ngpain,2
semangat,2
detail,2
cinta,2
sayembara,2
respect,2
kasar,2
berfikir,2
atensi,2
bersih,2
pindah,2
tumbuh,2
nasabah,2
topik,2
pokok,2
episode,2
nagih,2
programmer,2
erti,2
incar,2
telak,2
bre,2
bjorkan,2
maen,2
anonymous,2
orangorang,2
awokawok,2
laen,2
dngan,2
sprti,2
kamboja,2
telusur,2
mengkominfo,2
kureng,2
networking,2
reng,2
nangkepnya,2
piara,2
bjirr,2
liga,2
gmpang,2
lindungin,2
keroco,2
dongg,2
milih,2
nyambi,2
tulus,2
kompetisi,2
hunter,2
perhati,2
geleng,2
recall,2
ciber,2
sedih,2
satellite,2
revolusi,2
sepak,2
sore,2
arogan,2
majikan,2
cuy,2
webnya,2
colong,2
triliun,2
tawar,2
sertifikat,2
sepakat,2
hahahha,2
bom,2
muhrim,2
ketawaa,2
puncak,2
wawas,2
santuy,2
bocah,2
perusahaan,2
mahasiswa,2
blunder,2
perihal,2
open,2
your,2
guys,2
masarakat,2
biyorka,2
aware,2
plat,2
nomor,2
gaada,2
ngaco,2
kursus,2
online,2
kls,2
relevan,2
garut,2
ngalihin,2
mulyono,2
lidi,2
justryujiin,2
tidk,2
pegi,2
autisme,2
scatter,2
bijak,2
rajalela,2
wna,2
gaperlu,2
buron,2
rataa,2
geli,2
halhal,2
sempet,2
yap,2
cmn,2
ngakakk,2
karakter,2
fikiran,2
psikologi,2
bgitu,2
podcastnya,2
bebas,2
halu,2
dongo,2
download,2
halo,2
asal,2
wapres,2
semesta,2
pihak,2
bjorkaa,2
sosok,2
booss,2
ngadalin,2
bejat,2
bajak,2
aktivitas,2
ojk,2
kelak,2
telor,2
panjang,2
autism,2
banyk,2
kalang,2
skandal,2
pdahal,2
putra,2
maria,2
salib,2
desember,2
abadi,2
paste,2
kwkwk,2
hape,2
pinjam,2
paksa,2
bravo,2
aju,2
nonggol,2
common,2
sense,2
basic,2
technology,2
implementasi,2
imbang,2
rafi,2
youtuber,2
introgator,2
tiktok,2
teknis,2
guru,2
sudh,2
ongkos,2
hoki,2
geovedi,2
ngomongin,2
fbi,2
surabaya,2
sorot,2
sisi,2
halah,2
sembunyi,2
intelijen,2
mossad,2
saldo,2
pandang,2
purbaya,2
racun,2
saron,2
tetep,2
sidang,2
alloh,2
isa,2
putar,2
sang,2
muhammad,2
sunat,2
kekal,2
engkau,2
bapa,2
fake,2
prnh,2
salahin,2
bisik,2
bandung,2
model,2
karya,2
windows,2
computer,2
anggurin,2
beliin,2
klien,2
lirik,2
rqa,2
wist,2
adimahendraa,2
raja,2
focus,2
automation,2
kerenn,2
ngmong,2
ctf,2
organisasi,2
join,2
acellegend,2
link,2
imei,2
sebut,2
coding,2
garis,2
rela,2
russia,2
pelit,2
sedia,2
ragu,2
narkoboy,2
sipat,2
muslim,2
wajah,2
isue,2
kalimat,2
makna,2
poliz,2
curang,2
perang,2
kacamata,2
evoting,2
naek,2
jijik,2
materi,2
nasa,2
dua,2
biasa,2
kopi,2
gong,2
abai,2
listrik,2
jakarta,2
kumpul,2
transisi,2
listyo,2
sigit,2
trnyata,2
slama,2
kompak,2
komdigi,2
mode,2
sayber,2
alive,2
nasib,2
manual,2
proyek,2
who,2
unit,2
cik,2
canda,2
simple,2
wadah,2
bearti,2
ilmiah,2
putus,2
bias,2
apple,2
dehh,2
bnr,2
ttg,2
undur,2
social,2
adress,2
asi,2
twitter,2
crime,2
push,2
operator,2
blank,2
marah,2
staf,2
koar,2
kritik,2
negatif,2
nyangka,2
aniyaya,2
bngun,2
bin,2
kreatif,2
kan,2
jawara,2
potong,2
hackernya,2
mod,2
room,2
etis,2
non,2
kura,2
narsumnya,2
potensi,2
antah,2
ting,2
coy,2
exist,2
one,2
tolol,2
android,2
joko,2
oren,2
benteng,2
koplak,2
kadalin,2
jebak,2
slah,2
cemar,2
maklum,2
melek,2
tayang,2
lalin,2
macet,2
leha,2
wkkw,2
pace,2
gaib,2
netizen,2
beban,2
danantara,2
kga,2
inh,2
sasar,2
ngulik,2
sia,2
ajg,2
manipulasi,2
handler,2
dengernya,2
sembunyiin,2
sandi,2
polusi,2
prindavan,2
stlh,2
polizi,2
bat,2
nyusahin,2
topi,2
another,2
