bigram,frequency
berita bjorka,2
beli robot,2
more and,2
and more,2
komen judol,2
gin orang,2
iya orang,2
bjorka anonymous,2
bjorka tangkep,2
nagara merka,2
judol tangkap,2
bos judol,2
takut kalau,2
data yang,2
rekening yang,2
berantas judol,2
tau nya,2
bang kamu,2
kamu tau,2
milik judol,2
hacker programer,2
handal untk,2
situs judol,2
bagaimana nangkepnya,2
nangkep koruptor,2
saja ribet,2
liga inggris,2
suruh bjorka,2
nangkep curanmor,2
curanmor saja,2
tangkep hacker,2
bandar nya,2
bayar gede,2
kalau ketangkep,2
anggota dpr,2
dpr bumn,2
untuk website,2
website nya,2
nya ehh,2
rumah rumah,2
indonesia lokasi,2
main tidak,2
bug hunter,2
ditangkep yang,2
admin judol,2
tau kalau,2
bayar nya,2
yang pilih,2
tidak sudah,2
jarang kerja,2
sepak bola,2
ganti rugi,2
tidak maaf,2
penting pribadi,2
nanti tidak,2
gampang tidak,2
alir dana,2
nyari ilang,2
mampu polisi,2
saya kasih,2
kerja bakti,2
makan mie,2
mie ayam,2
jadi tidak,2
security indonesia,2
ajak tidak,2
tidak karna,2
ubah pikir,2
perintah aplikasi,2
yang kompeten,2
tidak kompeten,2
kerja nya,2
parah nya,2
ratus juta,2
komen kamu,2
ngakak guling,2
guling guling,2
seru seru,2
nya mumpuni,2
yang beli,2
security nya,2
seperti video,2
hacker seperti,2
ikut latih,2
alur cerita,2
mahasiswa yang,2
bilang polisi,2
biar ilmu,2
nangkap koruptor,2
data polisi,2
ijazah jokowi,2
open your,2
politik bjorka,2
bjorka isu,2
indo orang,2
hasil nangkap,2
gaya bicara,2
bobrok nya,2
biar bilang,2
memang gitu,2
gaya nya,2
nya bang,2
komunitas nya,2
nya bagaimana,2
umur thn,2
tapi seperti,2
banget kalau,2
yang kuliah,2
ngalihin berita,2
kalau koruptor,2
koruptor orang,2
orang dpr,2
warga bawa,2
sekolah tidak,2
tidak bener,2
bener gua,2
kerja gaji,2
tau banyak,2
nonton film,2
hacker haha,2
legend zelda,2
kalau gada,2
judol indo,2
judol judol,2
boss judol,2
nya anak,2
ngundang orang,2
beda banget,2
muda cerdas,2
tangkep sudah,2
setor puluh,2
tau saya,2
hilang tidak,2
pikir polisi,2
gatau malu,2
muda bikin,2
polisi bjorka,2
isu tutup,2
reformasi polri,2
smua orang,2
jabat negara,2
hacker indonesia,2
musuh perintah,2
saya mikir,2
mikir gitu,2
kali yaa,2
diem saja,2
salah satu,2
ngk tau,2
gua doang,2
doang yang,2
jago baca,2
fikiran orang,2
liat saja,2
jahat sungguh,2
kamu hacker,2
duit bank,2
bank rekening,2
dongo banget,2
halo dek,2
cuman bilang,2
cek mutasi,2
saja tapi,2
kali yang,2
yang gila,2
data mbg,2
tim cyber,2
anak lulus,2
modal jual,2
polri yang,2
indonesia keren,2
butuh kelas,2
lulus sekolah,2
bjorka angkat,2
akun bjorka,2
surat buka,2
pro rakyat,2
rekening jabat,2
jabat bejat,2
tidak nyenggol,2
polisi trus,2
orang miskin,2
rekening bang,2
yesus yesus,2
yesus lahir,2
ayah tuhan,2
cipta lahir,2
salib tuhan,2
yesus utus,2
utus tuhan,2
lahir tanggal,2
tanggal desember,2
belah kanan,2
kanan tuhan,2
cipta tuhan,2
tuhan doa,2
bantu tuhan,2
gua tidak,2
yang hati,2
bjorka uang,2
nya kamar,2
rakyat data,2
seperti film,2
sudah kali,2
aplikasi nya,2
gede banget,2
bravo damkar,2
tidak sihh,2
asli nonggol,2
liat bjorka,2
nangkep anak,2
instansi usaha,2
common sense,2
process technology,2
nya kuat,2
rafi ahmad,2
nangkap fufufafa,2
saya suka,2
kamu bro,2
memang bjorka,2
biarin saja,2
bang knpa,2
polisi suruh,2
seperti yang,2
motor bang,2
kalau lapor,2
polisi sudah,2
hilang kambing,2
hilang sapi,2
masalah polisi,2
ngurus bjorka,2
gua kalau,2
jim geovedi,2
ketangkep tidak,2
kalau jadi,2
ajar jadi,2
ini podcast,2
orang seperti,2
gin yang,2
cyber polisi,2
tau gua,2
tidak ngaku,2
anggap sepele,2
data anggap,2
percaya tidak,2
dunia cyber,2
data orang,2
kasih kisi,2
bjorka pecah,2
instansi polisi,2
yang pelihara,2
maryam hamil,2
tapi kalau,2
kalau yang,2
yang tapi,2
biar keren,2
cipta cipta,2
hidup kekal,2
bahas bjorka,2
saja masih,2
masih belum,2
belum ketangkep,2
orang duit,2
bikin gaduh,2
ini yang,2
generasi muda,2
saya gatau,2
rakyat yang,2
indonesia itu,2
yang dapet,2
sudah nangkep,2
suka banget,2
yang saja,2
nya kaya,2
plot wist,2
yaa tidak,2
saja biar,2
cari celah,2
korup institusi,2
hacker orang,2
hacker ngk,2
nama nya,2
nya hacker,2
bang hacker,2
kaya liat,2
kalau konoha,2
konoha mah,2
kalau jabat,2
bener orang,2
orang tidak,2
ilmu yang,2
anak komunitas,2
kelas gratis,2
alat yang,2
isi daging,2
wakil banget,2
menit suara,2
hasil tangkap,2
dapet nya,2
ken ketawa,2
awas polis,2
negara koruptor,2
gaji resiko,2
orang kalimantan,2
cari kepala,2
pake kacamata,2
kendara mewah,2
kalau cari,2
jadi polisi,2
sudah bantu,2
gong sihh,2
umur hidup,2
bjorka jangan,2
tangkap keren,2
berita polisi,2
bener polisi,2
tidak kelar,2
byorka saya,2
saya tau,2
bjorka ngakak,2
polisi minimal,2
kalau trnyata,2
polisi umum,2
alangkah malu,2
yang bantu,2
sayber perintah,2
buka data,2
yang pintar,2
kalau intel,2
kalau nangkep,2
maling ayam,2
anak sama,2
kasihan yang,2
tidak hukum,2
tidak iya,2
hacker hacker,2
hacker untuk,2
bjorka baca,2
salam kenal,2
asli podcast,2
hasil jual,2
tidak peduli,2
nya hasil,2
lucu saja,2
indonesia tangkap,2
polisi haus,2
tangkap bandar,2
bintang tamu,2
kaya film,2
khusus mampu,2
gua harap,2
tangkap saja,2
tangkep bjirka,2
sakit hati,2
love you,2
kamu bjorka,2
konoha sudah,2
cheat point,2
point blank,2
itu coklat,2
bener tidak,2
bagaimana kalau,2
keren nangkep,2
saya yang,2
tidak pinter,2
mas nya,2
ketawa tidak,2
jual tangkap,2
duga bjorka,2
bakti negara,2
masyarakat dukung,2
bjorka tau,2
yang baik,2
kreatif banget,2
bukti nya,2
polisi bubar,2
cyber jawara,2
hati hati,2
ded tidak,2
dunia jaring,2
aman dunia,2
main nonton,2
nonton ginian,2
hacker maling,2
nagkap bjorka,2
bjorka tukang,2
tangkap kalau,2
itu anak,2
saya nonton,2
nonton youtube,2
bayar mahal,2
tangkap mulu,2
saja kaga,2
pikir kek,2
bubar saja,2
polisi kek,2
prestasi polisi,2
ungkap bjorka,2
saja jual,2
tidak beres,2
hah hah,2
nya bnyk,2
cemar nama,2
laku institusi,2
ecek ecek,2
nilai teori,2
jual yang,2
gaji gede,2
atur lalin,2
kaya gin,2
serius saya,2
coba undang,2
undang pace,2
bjorka mimpi,2
bener saya,2
amplop amplop,2
orang indo,2
jadi hacker,2
beban doang,2
saja kerja,2
sok nangkep,2
rendah tidak,2
kamu percaya,2
bjorka komen,2
kualitas nya,2
tidak salah,2
saya pribadi,2
handler alias,2
untuk israel,2
hacker bobol,2
kelas ecek,2
tangkap klw,2
nangkep hecker,2
klw pakai,2
sembunyiin proxy,2
nya proxy,2
percaya bpk,2
hack akun,2
sandi random,2
anjir saya,2
polusi prindavan,2
sistem bobrok,2
wait wait,2
pungli nyusahin,2
nyusahin rakyat,2
topi putih,2
white hat,2
hat black,2
black hat,2
hacker lapang,1
lapang males,1
males patroli,1
malam kalau,1
foto gerak,1
gerak kalau,1
kalau duit,1
duit alam,1
hilang kertas,1
tindak gilir,1
gilir bikin,1
bikin ivent,1
ivent kasih,1
kasih amplop,1
amplop bantuin,1
bantuin usaha,1
usaha saya,1
saya tkp,1
tkp karna,1
karna karyawan,1
karyawan libat,1
libat selisih,1
selisih buka,1
buka musti,1
musti urus,1
urus terang,1
terang juta,1
juta ijin,1
ijin usaha,1
usaha tidak,1
karna pas,1
pas kantor,1
kantor kalau,1
kantor oknum,1
oknum tidak,1
ubah karna,1
karna watak,1
watak berita,1
viral oknum,1
oknum tangkap,1
tangkap ujung,1
jaga temen,1
temen tidak,1
