username,comment,time
@triehandoyo6273,bener sekali.kalau pagi yg jaga lalu lintas malah pegawai busway.,2 hari yang lalu
@keponih-t6d,fakta 100%,2 hari yang lalu
@mellya2272,ini mereka yg lagi diomongin bisa baca gak yaa...,2 hari yang lalu
@romadandi0392-or3gf,waduh.... malah di jabarin semua borok.nya 😂😂😂,2 hari yang lalu
@michaelwarouw6534,mau dibantah tapi kenyataan.... hmmm syulit,1 hari yang lalu
@mayazikaaa,fakta ini terlalu terang seterang cahaya ilahi 😂😂😂,1 hari yang lalu
@suponojts,😂😂inilah konoha,1 hari yang lalu
@yunitalisa3996,"benar banget , mending dr pada nangjap bjorka katanya",1 hari yang lalu
@avriliazulkarnaen,"abis foto2 kirim ke atasan buat laporan abis tuh lanjut ngopi, sering banget tuh aku liat kalo pagi2 😂😂😂😂😂",1 hari yang lalu
@agusbantoro1184,bobroknya institusi yg di bayar dan di gaji masyarakat 😢😢😢,1 hari yang lalu
@ikarus_07,fakta maseh😂,1 hari yang lalu
@acenganakcengengesan4924,lingkungannya mendukung...,1 hari yang lalu
@sumajii81-km3xb,cocok memang luar biasa mereka ini makan gaji dari rakyat tapi gak manfaat buat rakyat,1 hari yang lalu
@aisyahsolekha,"jadi ingat kejadian di kantor polisi gr2 rumah temen  kemalingan tas dompet hilang semua termasuk surat2 penting
 temen bilang : pak mau lapor surat kehilangan blablabla
polisi: blablabla
temen : jadi berapa pak untuk administrasinya?
polisi : ah gak usah kayak sama siapa
temen : oh iya pak, maturnuwun 
 and, baru beberapa langkah jalan dipanggil lagi dong sama pakpol
pakpol : mas, mas pernae ya dilihat to, rokoke kita apa, permene apa

gila gak sih, ditanya administrasinya apa katanya gak usah, pas udah keluar tiba2 ngasih kode minta uang jajan, yang diminta juga orang yang baru kena musibah kemalingan😂😂😂 emang lawak banget si",1 hari yang lalu
@jayajalan-p9q,oiiii jangan jujur lah😂,1 hari yang lalu
@zhi9999,"tapi kalau lagi ngoten, baik dan gercep banget kok bang",1 hari yang lalu
@yudilukmanto,ingat polisi yg jujur cuma pak hoegeng dan polisi tidur,1 hari yang lalu
@wiwitvindiyanto8188,"gw kerampokan jg sama kasusnya malah di persulit, bpkb surat"" kendaraan di curi, mgurus lagi habis 10 jt itu buat 1 mobil padahal kita korban... gila emang konoha... maunya dpt gaji kerjaan tidur., atau malak orang.... ini mah udah penjahat  tp legal",1 hari yang lalu
@whatamessn-b5u,dih... klo ngomong suka bener 😂😂😂,1 hari yang lalu
@kicu_kicu,"temen gw kena kasus narkobs ketangkep, tiba2 bsoknya udah di rumah, iseng2 tanya, ternyata nebus surat laporan sbelum di layangkan ke kejaksaan 100jt katanya... njiiir gilaaak emang bener kata pak mahfud jangan berurusan dengan hukum, pintu utamanya kepolisian...",1 hari yang lalu
@hendragojek3446,"kata siapa gak pernah patroli malam??
gw sering liat tuh polisi patroli malam, malah sering berhenti d depan2 karaoke tanpa keluar mobil lalu ada orang datang menghampiri dan bawa'n rokok.",1 hari yang lalu
@ekaprasatya-o1i,iyah lagih,1 hari yang lalu
@anipzajja6829,"udah bener2 bobrok emang... yg katanya oknum, tapi bejibun...",1 hari yang lalu
@untrikoza7466,nahh ituu....🫵🫵🤣🤣,1 hari yang lalu
@sigragrek7104,🫡🫡🫡,1 hari yang lalu
@umamkent3584,betul,1 hari yang lalu
@irwanral3645,faktaaaaaa,1 hari yang lalu
@kristantomountain5346,😅,1 hari yang lalu (diedit)
@usep34,real di lapangan 😂😂😂😂,1 hari yang lalu
@susansusan5136,pingin masuk gua jadi hacker ga tahu aksesnya,1 hari yang lalu
@buldozer6475,masuk.ksana aja bayar.. ga heran jdinya bgini,1 hari yang lalu
@jasienm5676,🎉🎉🎉,1 hari yang lalu
@univer-kholis6588,"sependapat, preman memang bikin susah dunia usaha",1 hari yang lalu
@ramdhaniputramahesa1517,"klo pengelihtan gua semua y karna kbiasaan k enakan..dulu mngkin kyk buat sim byar pajek kan susah nah dri situ ada masyrakat nembak mw bikin cpt dan mudah nah dri situ mereka"" ke enakan dan jd kbiasaan bhkan bkn hal yg sepele saja",1 hari yang lalu
@dellbaglat6420,"kejadian yang saya alami lebih parah bro. saya pernah nabrak orang sampae patah tulang, saya tanggungjawab ke korban, semua biaya rs saya yg tanggungjawab, kalau laka lantas kan dapat jasa raharja kan..? waktu itu tahun 2012 dapat jasa raharja sebesar 10 jt, saran dari kakak korban, jasa raharja itu utk biaya rs aja, aku setuju, aku urus jasa raharjanya, kan harus minta surat2 ke polsek/polres setempat utk syarat ke jasa raharja biar bisa cairkan dananya. saat urus surat di polres/polsek, mereka bilang nanti yang separo utk polsek/polres.., dalam artian 50:50. aku iya2 aja.. pikiranku yang penting urusanku sama mereka selesai. singkat kata dana jasa raharja turun, aku balik ke polsek sambil bawa amplop berisi uang 500 ribu. pak, saya gak bisa kasih 50:50, ini dana buat korban untuk berobat. ini ada dana sekian, kalau mau diterima silahkan gak mau juga gak apa2. lalu aku tinggalkan polsek dan kembali ke rs buat urus pengobatan korban. ini pengalaman untuk kita semua., hati2..urus jasa raharja. kalau kita gak pandai2, kita bisa dirugikan.",1 hari yang lalu
@markusaryadi,jujur banget 😂,1 hari yang lalu
@ademulyaman2882,bener bangetttt cuyyy,1 hari yang lalu
@feriarifchyn7352,pelan pelan bang😂,1 hari yang lalu
@gavinarsha,benerr,1 hari yang lalu
@ahmadripai5929,si abang kalo ngomong suka bener 😅😅,1 hari yang lalu
@wonderfulltoday,buset lu bicara fakta semua sih 😅😅😅😅,1 hari yang lalu
@ghofialgifari2780," @aries_bast  mereka bekerja buat balikin modal,, bukan ngejar visi misi jadi oknum itu✌",1 hari yang lalu
@hendraandrea118,"gua kira cuman d tempat gua polisi foto d perempatan, siap foto foto, perempatannya d tinggal 😂",1 hari yang lalu
@budisetiawan-j2t9h,banyak lo yg patroli d cafe tuak,1 hari yang lalu
@2sisi2,"jir, fakta lagi wkwkwkwkwk",1 hari yang lalu
@sakatalent,iya lagi,1 hari yang lalu
@pujasetiawan1080,kelasss king,1 hari yang lalu
@febiarselinamandan4955,"aku pernah malem² pergi ke bri mau ke atm. terus ada 2 org parcok, foto² di depan pintu masuk bank. salah 1 nya minta tolong ke aku buat fotoin. eh gataunya, satunya adl tetanggaku. kya cengok bgt. sampe skrg klo ktmu shalat jamaah sama aku kya menghindar gtu. hehehe",1 hari yang lalu
@pernahwaktu,loh kok sama 😂😂,1 hari yang lalu
@nyungik1258,fakta,1 hari yang lalu
@erwan-k6g,fakta......nyata!,1 hari yang lalu
@apoteksamuderamedika,fakta,1 hari yang lalu
@akbarfirdiansyah1150,"​@aries_bast kalau yang masuknya lewat suap, mereka anggap profesinya bukan pengabdian tapi bisnis",1 hari yang lalu
@alialmubarok9956,yg gak terima ini pasti termull,1 hari yang lalu
@alialmubarok9956,"​ @bobyenugraha3811 wkwk betul banget, jirr sama kaya di tempat gue😂 belum lagi instansi pemerintah, lurah disini ketua dpc ormas tukang palak lapak dan sebagainya 😂 1 kecamatan isinya dominan keluarga 😅",1 hari yang lalu
@abdelhaq-m4w,"aku pikir yg pantas disebut oknum itu adalah yang benar² bekerja,  karena jumlah yang ""baik"" ini cendrung lebih sedikit daripada yg ""gak baiknya"".🎉 bukankah begitu teman - teman?😂",1 hari yang lalu
@rere_aulia,"fakta suami sya kerja jdi satpam lah polisi dteng bwa mobil cuma fto"" kabur lagi😂😂",1 hari yang lalu
@fmchannel9690,"​ @jokonarimo1899  ku kira dsini aja,, brrti sana"" juga sama",1 hari yang lalu
@wdrz_id,senin sama kamis saja kalau di kota saya foto fotonya,1 hari yang lalu
@winskieeofficial9203,wkwkw,1 hari yang lalu
@superlathief822,loooh jangan kaget 😂,1 hari yang lalu
@ndaagedas1892,"boom sangat benar sekali, di perempatan kadang nyuruh kang ojek buat fotoin🤣",1 hari yang lalu
@trisnaanggapradiasa,"selagi rekrutmen masih ada pungli,yang bayar yang lolos sampek kiamat ga akan kerja sesuai job desk nya
banyak temen yang jadi ada yang sampe 500 jt lo.
kalo ngandelin gaji buat nutup uang 500 jt berapa tahun😢",1 hari yang lalu
@singalaras,nir bener lagi🤣,1 hari yang lalu
@s.herlandho1,"bener bgt, fakta !!!",1 hari yang lalu
@hasanabqary,perasaan tender pengadaan cyber security tiap tahun😅,1 hari yang lalu
@menotsundanot6164,banjir faktaaa boss,1 hari yang lalu
@gioracetho791,kalau komen kog suka bener sih 😂,1 hari yang lalu
@didi-q4f,fakta makanya ngak ada kemajuan punya kantor sabtu minggu libur,1 hari yang lalu (diedit)
@ricobgus8052,hahahahah..yg penting selfi dlu ya kan...abis itu cabut😂,1 hari yang lalu
@ganam12,"dikasih tau dong keluarga, sanak saudaranya jgn daftar polisi, ini kok dibenci tapi setiap rekrutmen yg daftar bisa ribuan dan gk pernah dikit, kn lu udh gk butuh polisi 😂😂😂",1 hari yang lalu
@khissland7412,fakta di kampung ku gitu 😅ada pas rajia lalulintas yg bikin rugi masyarakat mengayomi nya kapan,1 hari yang lalu
@sisylsilva4908,gausah jauh2 bang bikin sim aja lewat calo yg calonya ya polisi itu sndiri wkwk😂😂😂,1 hari yang lalu
@imamramadhan-r8c,fakta,1 hari yang lalu
@agu_era6005,"di perempatan polwannya make up tebal, glowing glowing...karena hanya pagi aja diperempatannya.🤭",1 hari yang lalu
@blaster-75,parah banget sih😂😂,1 hari yang lalu
@dominic-y8u,tpi ini pekerjaan yg di idam idamkan banyak org apalagi calon mertua...,1 hari yang lalu
@ekojoko2858,bayar bayar... habis tanah habis sawah habis semuanya... 😅,1 hari yang lalu
