username,comment,time
@febiarselinamandan4955,"Aku pernah malem² pergi ke BRI mau ke atm. Terus ada 2 org parcok, foto² di depan pintu masuk bank. Salah 1 nya minta tolong ke aku buat fotoin. Eh gataunya, satunya adl tetanggaku. Kya cengok bgt. Sampe skrg klo ktmu shalat jamaah sama aku kya menghindar gtu. Hehehe",1 hari yang lalu
@Pernahwaktu,Loh kok sama 😂😂,1 hari yang lalu
@nyungik1258,FAKTA,1 hari yang lalu
@Erwan-k6g,Fakta......nyata!,1 hari yang lalu
@ApotekSamuderaMedika,FAKTA,1 hari yang lalu
@akbarfirdiansyah1150,"​@aries_bast Kalau yang masuknya lewat suap, mereka anggap profesinya bukan pengabdian tapi bisnis",1 hari yang lalu
@alialmubarok9956,Yg gak terima ini pasti Termull,1 hari yang lalu
@alialmubarok9956,"​ @bobyenugraha3811 wkwk betul banget, jirr sama kaya di tempat gue😂 belum lagi instansi pemerintah, Lurah disini ketua DPC Ormas tukang palak Lapak dan sebagainya 😂 1 Kecamatan isinya dominan keluarga 😅",1 hari yang lalu
@AbdelHaq-m4w,"Aku pikir yg pantas disebut oknum itu adalah yang benar² bekerja,  karena jumlah yang ""baik"" ini cendrung lebih sedikit daripada yg ""gak baiknya"".🎉 Bukankah begitu teman - teman?😂",1 hari yang lalu
@Rere_aulia,"Fakta suami sya kerja jdi satpam lah polisi dteng bwa mobil cuma fto"" kabur lagi😂😂",1 hari yang lalu
@fmchannel9690,"​ @jokonarimo1899  ku kira dsini aja,, brrti sana"" Juga sama",1 hari yang lalu
@wdrz_id,Senin sama kamis saja kalau di kota saya foto fotonya,1 hari yang lalu
@winskieeofficial9203,Wkwkw,1 hari yang lalu
@superlathief822,LOOOH JANGAN KAGET 😂,1 hari yang lalu
@ndaagedas1892,"Boom sangat benar sekali, di perempatan kadang nyuruh kang ojek buat fotoin🤣",1 hari yang lalu
@TrisnaAnggaPradiasa,"Selagi rekrutmen masih ada pungli,yang bayar yang lolos Sampek kiamat ga akan kerja sesuai job desk nya
Banyak temen yang jadi ada yang sampe 500 jt Lo.
Kalo ngandelin gaji buat nutup uang 500 JT berapa tahun😢",1 hari yang lalu
@singalaras,Nir bener lagi🤣,1 hari yang lalu
@s.herlandho1,"bener bgt, fakta !!!",1 hari yang lalu
@HasanAbqary,Perasaan tender pengadaan cyber security tiap tahun😅,1 hari yang lalu
@menotsundanot6164,BANJIR FAKTAAA BOSS,1 hari yang lalu
@gioracetho791,Kalau komen kog suka bener sih 😂,1 hari yang lalu
@didi-q4f,fakta makanya ngak ada kemajuan punya kantor sabtu minggu libur,1 hari yang lalu (diedit)
@ricobgus8052,Hahahahah..yg penting selfi dlu ya kan...abis itu cabut😂,1 hari yang lalu
@ganam12,"DIKASIH TAU DONG KELUARGA, SANAK SAUDARANYA JGN DAFTAR POLISI, INI KOK DIBENCI TAPI SETIAP REKRUTMEN YG DAFTAR BISA RIBUAN DAN GK PERNAH DIKIT, KN LU UDH GK BUTUH POLISI 😂😂😂",1 hari yang lalu
@khissland7412,Fakta di kampung ku gitu 😅ada pas rajia lalulintas yg bikin rugi masyarakat mengayomi nya kapan,1 hari yang lalu
@sisylsilva4908,Gausah jauh2 bang bikin sim aja lewat calo yg calonya ya polisi itu sndiri wkwk😂😂😂,1 hari yang lalu
@ImamRamadhan-r8c,FAKTA,1 hari yang lalu
@agu_era6005,"di perempatan polwannya make up tebal, glowing glowing...karena hanya pagi aja diperempatannya.🤭",1 hari yang lalu
@Blaster-75,Parah banget sih😂😂,1 hari yang lalu
@DominiC-y8u,Tpi ini pekerjaan yg di idam idamkan banyak org apalagi calon mertua...,1 hari yang lalu
@ekojoko2858,Bayar bayar... Habis tanah habis sawah habis semuanya... 😅,1 hari yang lalu
@agus-sv2u,"Bismillah,.Assalamualaikum. saya jual Rumah dgn HARGA Tanah kosong saja.. luas tanah 700m dan luas bangunan 500mpersegi  sangat cocok untuk segala macam tempat usaha.dan Rumah pribadi,Lokasi di jln kedung baruk no 140.Sby timur..persis Di depan indomart Rumah ini.nol jln raya saya jual cuman dengan harga tanah kosong saja.Surat SHM ready..ada 14 kamar kos..penuh penghuninya.",1 hari yang lalu
@arievzone787,"Slow bang , fokus perut seragam coklat",1 hari yang lalu
@septianandriansaputra9115,Fakta bgt,1 hari yang lalu
@gunawanw5063,Warga disuruh RONDA,1 hari yang lalu
@anggapuji6388,Real madrid,1 hari yang lalu
@rezapatricia8706,"Sama dengan saya kk, ortu saya melapor kehilangan gas udah 2x, saat itu kejadiannya malingnya udah ketangkep kak, jadi ortu saya mau buat laporan, dan disuruh bayar 2/4 JT perlaporan, gila gak tuh, gak sampai setahun udah dilepas tuh maling",1 hari yang lalu (diedit)
@robin2212,"Pernah kehilangan motor FU punya sepupu lapor polisi tak di gubris, kebetulan saya kenal mereka mereka yg pernah maling motor, dari mereka lah saya di beri informasi, akhirnya saya melacak sendiri alhamdulilah ketemu berkat petunjuk mereka, kalau hilang nya di daerah sini berarti yg ambil kelompok ini, kalau hilang nya du daerah lain biasanya kelompok ini yg ambil",1 hari yang lalu
@Sungainusantara6216,Fakta .saya pernh ngalamin jg kebusukan dari ladusing😂😂,1 hari yang lalu
@akunpabji6328,Terang Benderang,1 hari yang lalu
@VickFrozenMart,Yang taat cuma patung polisi sama polisi tidur aja kayaknya,1 hari yang lalu
