no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
378,N/A,Fiona Gita,5,5 bulan lalu,TEMPAT YANG SANGAT BAGUS!,N/A,Tidak
379,N/A,Azalia Nasywa N.,4,5 bulan lalu,N/A,N/A,Tidak
380,N/A,Fiana Asyla,5,5 bulan lalu,N/A,N/A,Tidak
381,N/A,Keyza Pramesti,5,5 bulan lalu,N/A,N/A,Tidak
382,N/A,nazwa alhadar,4,5 bulan lalu,"Untuk tempatnya udh nyaman bgt dan bersih, untuk makanannya menurutku jga oke",N/A,Tidak
383,N/A,Novalia Maharani Ayudita,5,5 bulan lalu,Good vibe for nongki ✨,N/A,Tidak
384,N/A,agi,5,5 bulan lalu,"Cozyyyyyyyy placeee, matchanya juga enaaak. As a matcha lover bakalan balik lagi ke sini siii <33",N/A,Tidak
385,N/A,khansa devi,5,5 bulan lalu,"matcha nya enaaakk and the spot also great buat foto foto, buat nugas juga nyaman👍🏻👍🏻",N/A,Tidak
386,N/A,Novika,5,5 bulan lalu,"enak , nyaman , tempatnya bagus astetic , rekomen buat anak gen z",N/A,Tidak
387,N/A,putri jesika,5,5 bulan lalu,"kyoto matcha latte
butterscocth
niat mau coba matcha aja, ternyata butterscotch nya lebihh enakk lagi and good ambience",N/A,Tidak
388,N/A,MAWAR VELISA,5,5 bulan lalu,"pelayanannya okee bgtt, tmptnyaaa enakkk nyamann",N/A,Tidak
389,N/A,Frisca Muthia,5,5 bulan lalu,seruu bngt tempatnya buat hangout🥰,N/A,Tidak
390,N/A,Theodora Tri Lusi Yulinda,5,5 bulan lalu,"Tempatnya nyaman banget untuk nongkrong, pelayanannya juga cepat",N/A,Tidak
391,N/A,Felicita Ngeldia,5,5 bulan lalu,"Aesthetic, nyaman, pelayanan ramah dan cepat, tempat luas",N/A,Tidak
392,N/A,gita ayu,5,5 bulan lalu,N/A,N/A,Tidak
393,N/A,Talitha Shaumi,5,5 bulan lalu,N/A,N/A,Tidak
394,N/A,Della Revania,5,5 bulan lalu,matchanya enak ngga terlalu manis ngga  pait layanannya baguss dan sopann,N/A,Tidak
395,N/A,Febriani Sintia Dewi,5,5 bulan lalu,"matchanya enakk! servicenya juga bagus dan tempatnya juga cozy sih, enak buat nongki nongki hihii",N/A,Tidak
396,N/A,Jessica Serly,4,5 bulan lalu,N/A,N/A,Tidak
397,N/A,Elfira Anathasia,5,5 bulan lalu,"first time ke sini, staff nya ramah semua, service nya oke bangetttt!😍🤍 minumannyaa jugaa enak bangett, bukan tipikal matcha yg pahit bgt, cocok buat aku yg suka matcha tp gasuka yang pahittt!!😍😍😍🫰🏻🫰🏻🫰🏻🫰🏻 …",N/A,Tidak
398,N/A,Robby Batama,5,5 bulan lalu,mantappppppsssszzz,N/A,Tidak
399,N/A,Haninda Via Ramadhani,5,5 bulan lalu,tempatnyaa lucuu bgttt,N/A,Tidak
400,N/A,astrid kurniawati,5,5 bulan lalu,tempatnya aesthetic buat foto-foto,N/A,Tidak
401,N/A,Roberta Dena,5,5 bulan lalu,Baik,N/A,Tidak
402,N/A,salma,5,5 bulan lalu,tempatnya enak trus matchanya jugaa tpi kurang luas,N/A,Tidak
403,N/A,Lauraa,5,5 bulan lalu,matcha enakkk dan tempatnya nyaman buat ngobrol lama bareng temen,N/A,Tidak
404,N/A,fadhila faza,5,5 bulan lalu,N/A,N/A,Tidak
405,N/A,Beepo ganz,5,5 bulan lalu,matcha nya enak ga terlalu pait,N/A,Tidak
406,N/A,hanidaz official,5,5 bulan lalu,"Tempatnya cozy dan super estetik!! Suka bangett sama konsep machia, baristanya of course ramahh💗",N/A,Tidak
407,N/A,Fya Rizki,5,5 bulan lalu,N/A,N/A,Tidak
408,N/A,Abdi Akbari,5,5 bulan lalu,N/A,N/A,Tidak
409,N/A,nickyy mike,1,5 bulan lalu,"matcha nya gaa berasa, cuma rasa susu aja. ntah emang racikan nya gitu atau gimana.
kasir nya cuek bgtt buset gaa ramah samsek.",N/A,Tidak
410,N/A,Michelia Fitrianing,5,5 bulan lalu,N/A,N/A,Tidak
411,N/A,Gilbert Susanto,1,5 bulan lalu,"ada staff yang suka ngatur dan ketika sedang customer crew sedang melayani kasir malah di usir sama staff yang suka ngatur itu, kalau tidak salah namanya berry dari name tag nya",N/A,Tidak
412,N/A,tifaaini,5,5 bulan lalu,N/A,N/A,Tidak
413,N/A,Nidhar Fakhrudin,5,5 bulan lalu,Rasanya enak tempatnya enak!!! 😍,N/A,Tidak
414,N/A,Bagus Febrianto,5,5 bulan lalu,N/A,N/A,Tidak
415,N/A,Mia Natania Mamonto,5,5 bulan lalu,Matchanya enakk🤩,N/A,Tidak
416,N/A,Fatimah Rumoroi,5,5 bulan lalu,"minumannya enakk polll, tempatnya juga enak",N/A,Tidak
417,N/A,Daffa,5,5 bulan lalu,Matchanya juara gais… worth to try,N/A,Tidak
418,N/A,Clarissa Athaillah,5,5 bulan lalu,"Tempatnya enak, bisa mewarnai, matchanya lumayann juga 👍",N/A,Tidak
419,N/A,Frend Zukzez,5,5 bulan lalu,"Tempatnya bagus, pilihan matchanya pun beragam. Lumayan untuk matchanyaa",N/A,Tidak
420,N/A,Fauziah Ainni Sofian,4,5 bulan lalu,"First time nyobain matcha di store khusus matcha, dan rasanya beneran pure matcha banget",N/A,Tidak
421,N/A,Raffi cahya,5,5 bulan lalu,N/A,N/A,Tidak
