no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
149,N/A,Orlando Situmorang,5,sebulan lalu,N/A,N/A,Tidak
150,N/A,Adit P,5,sebulan lalu,N/A,N/A,Tidak
151,N/A,tasya hamida,5,sebulan lalu,pelayanannya lumayan sangat ramah!!,N/A,Tidak
152,N/A,lale githa wiryaninda,5,sebulan lalu,"tempatnya aesthetic parah 🤩 apalagi pelayan nya aramah ramah bangett, di sini surganya pecinta matcha 🤩🤩🤩",N/A,Tidak
153,N/A,Elizabeth Putri,5,sebulan lalu,Kue catur itu lezat.,N/A,Tidak
154,N/A,Azaliyyah Tsabitah,5,sebulan lalu,"tempat nya sangat nyaman dan sangat aestetic ,pelayanan nya ramah",N/A,Tidak
155,N/A,Winda Della,5,sebulan lalu,"Overall oke tempatnya estetik
Pelayannya juga sangat ramah",N/A,Tidak
156,N/A,Nesken Van vliet,5,sebulan lalu,"Minumannya enak
Pelayanannya bagus",N/A,Tidak
157,N/A,alya nada Airiati,5,sebulan lalu,tempat nya estetik,N/A,Tidak
158,N/A,Fakih D. Fitratna,5,sebulan lalu,Tempat yang bagus untuk nongkrong sambil menikmati minuman yang lebih enak. Kopinya juga enak meskipun menu utamanya matcha🤙🏻 …,N/A,Tidak
159,N/A,Afifah Hasna,5,sebulan lalu,"tempat sangat nyaman dan estetik, pelayanan oke, minumannya juara",N/A,Tidak
160,N/A,Putri Salsabila,5,sebulan lalu,pelayanan ramah baik,N/A,Tidak
161,N/A,diva,5,sebulan lalu,"enaaak bgt, pelayanan sangat ramah",N/A,Tidak
162,N/A,Rizky Yudha (Yudha),5,sebulan lalu,STABIL ADALAH KUNCI,N/A,Tidak
163,N/A,Deva Fernanda Pramudya,5,sebulan lalu,"Cheescakenya sangat lembut, rasanya nikmat",N/A,Tidak
164,N/A,Ayuning Sekarputih,5,sebulan lalu,N/A,N/A,Tidak
165,N/A,Zahra Faridza Fitri Utami,5,sebulan lalu,"tempatnya bagus,untuk makanannya enak",N/A,Tidak
166,N/A,Dyah Ajeng,5,sebulan lalu,bagus tempatnya lucuuu😍,N/A,Tidak
167,N/A,Handrian Bagas,5,2 bulan lalu,Tempatnya bagus aesthetic,N/A,Tidak
168,N/A,tazqia bilqiss,5,2 bulan lalu,N/A,N/A,Tidak
169,N/A,amalia azarin,5,2 bulan lalu,"tempatnya luas, matchanya juga enak",N/A,Tidak
170,N/A,muhammad rafi,5,2 bulan lalu,N/A,N/A,Tidak
171,N/A,Windy Listiana,5,2 bulan lalu,Mantappp,N/A,Tidak
172,N/A,V3XXY,5,2 bulan lalu,MANTAPPP BETULLLL,N/A,Tidak
173,N/A,luna farrah,5,2 bulan lalu,enak,N/A,Tidak
174,N/A,Dama Dma,5,2 bulan lalu,"Matcha paling enak, tempatnya juga nyaman",N/A,Tidak
175,N/A,mully aya,5,2 bulan lalu,Tempat nyaman & makanan minumannya juga enak,N/A,Tidak
176,N/A,Chiara Alodia C.R,5,2 bulan lalu,N/A,N/A,Tidak
177,N/A,Trian Artensena,5,2 bulan lalu,matcha yang enak dan tempatnya nyaman,N/A,Tidak
178,N/A,Risa Ekaning Tyas,5,2 bulan lalu,"Tempatnya estetik, recomended",N/A,Tidak
179,N/A,Rachma,5,2 bulan lalu,"Makanan enak, tempat terbaik",N/A,Tidak
180,N/A,Rista P Rahayu,5,2 bulan lalu,Matcha terbaik 🍵💚,N/A,Tidak
181,N/A,Titik Nurmalasari,5,2 bulan lalu,N/A,N/A,Tidak
182,N/A,Septiana Dewi,5,2 bulan lalu,N/A,N/A,Tidak
183,N/A,CLARITA VIDYA OKTA RISTYA,5,2 bulan lalu,Riasan tipis,N/A,Tidak
184,N/A,OKTALIANA EKA TIYARAWATI,5,2 bulan lalu,N/A,N/A,Tidak
185,N/A,Astrid Apriliana,5,2 bulan lalu,sangat bagus,N/A,Tidak
186,N/A,Wilda Ayu,5,2 bulan lalu,"Love the places, drink dan makanannnya ! 🫶🏻",N/A,Tidak
187,N/A,Aisyah Dinari,5,2 bulan lalu,N/A,N/A,Tidak
188,N/A,Firdhaputri,4,2 bulan lalu,"aku gatau konsep matcha disini gimana apa aku aja yang norak, pesen cloud pink matcha tp matchanya hambar. baru manis pas di akhir setelah cloudynya kecampur. aku tau kok rasa matcha tu gimana bahkan yang pure matcha. tp ini hambar, ngerti gak 😂
untuk tempatnya terkonsep dengan baik, luas, bersih, nyaman, dan pastinya aeshtetic gak usah di ragukan lagi. staff juga ramah.

tp mungkin kalau bisa, untuk rasa dan porsi di sesuaikan dengan harga. karna ini termasuk mahal loh untuk sekelas minuman kaya gini, mana dikit bgt. mahal boleh asal memuaskan 😃👍🏻🍵",N/A,Tidak
189,N/A,S S,5,2 bulan lalu,N/A,N/A,Tidak
190,N/A,Little Girls,5,2 bulan lalu,nyaman asik🤘,N/A,Tidak
191,N/A,Sinta Aulia,5,2 bulan lalu,Super cozy minumnya recoment bgt pokonya,N/A,Tidak
192,N/A,AISYAH RAIHANA A -,5,2 bulan lalu,N/A,N/A,Tidak
193,N/A,Nawal Taufik Al Kasadi -,5,2 bulan lalu,sangat mencintai tempat ini,N/A,Tidak
194,N/A,eny tok,3,2 bulan lalu,"Aku kira rasanya bakalan sama kek c28 trnyata beda ,percampuran mix matchanya kurang balance ,yang satu kepahitan satunya kemanisan",N/A,Tidak
195,N/A,zahra,5,2 bulan lalu,N/A,N/A,Tidak
196,N/A,novianti fitri nadila,5,2 bulan lalu,N/A,N/A,Tidak
197,N/A,Ridwan Bagus,5,2 bulan lalu,N/A,N/A,Tidak
198,N/A,salsabila azkya,5,2 bulan lalu,Tempatnya lucuu✨,N/A,Tidak
199,N/A,Eny Rahayu,5,2 bulan lalu,N/A,N/A,Tidak
200,N/A,Ana Nurchasanah,5,2 bulan lalu,N/A,N/A,Tidak
201,N/A,Hana Nasution,5,2 bulan lalu,N/A,N/A,Tidak
202,N/A,Valentino Febrian,5,2 bulan lalu,bagus sekali,N/A,Tidak
203,N/A,Sulthan Faris,5,2 bulan lalu,"Enakk bangett, tempatnya cozyy, minuman nya juga enakk",N/A,Tidak
204,N/A,Indri Hapsari,5,2 bulan lalu,"tempat nyaman, makanan minuman juga pass🫰🏻 …",N/A,Tidak
205,N/A,Ajani Ward,5,2 bulan lalu,N/A,N/A,Tidak
206,N/A,bagus yasir07,5,2 bulan lalu,N/A,N/A,Tidak
207,N/A,Hardi Fathur,5,2 bulan lalu,tempatnya luas dan nggak terlalu berisik,N/A,Tidak
208,N/A,wmn,5,2 bulan lalu,Ini benar-benar sepadan.,N/A,Tidak
209,N/A,Amaria Santika,5,2 bulan lalu,N/A,N/A,Tidak
210,N/A,Yasintia Aulia,5,2 bulan lalu,N/A,N/A,Tidak
211,N/A,Jevetha Isdianingtyas,5,2 bulan lalu,"Cheese cake pistachio mantab, dark choconya kerasa juga.. recommended",N/A,Tidak
212,N/A,Aprilia Swastika,5,2 bulan lalu,suka bgt tempatnyaa cozyy abiesss 😍,N/A,Tidak
213,N/A,Zanuba Elza Noorafifah,5,2 bulan lalu,great experiences! fasilitas lengkap dan pilihan menu yang beragam! akan revisit lagii 🫶🏻,N/A,Tidak
214,N/A,Bunga Pink Az Zahra,5,2 bulan lalu,"tempatnya nyaman, pelayanannya bagus good good 🔛🔝",N/A,Tidak
215,N/A,wida martowardoyo,5,2 bulan lalu,N/A,N/A,Tidak
216,N/A,Nisrina Sana Rifa,5,2 bulan lalu,N/A,N/A,Tidak
217,N/A,Ika Ayu Utami,5,2 bulan lalu,"Tempat cozy, matchanya enak🥰",N/A,Tidak
218,N/A,Nure Novita Randan,5,2 bulan lalu,Rekomendasi caffe estetick sih ini😍😍😍 …,N/A,Tidak
219,N/A,shofie,5,2 bulan lalu,mantap asek sekali spot foto banyak kerennnn,N/A,Tidak
220,N/A,Irwan Feb015,5,2 bulan lalu,N/A,N/A,Tidak
221,N/A,Denis Naufal,5,2 bulan lalu,tempatnya menarik cocok buat fto”,N/A,Tidak
222,N/A,Fransiska Anindya,5,2 bulan lalu,N/A,N/A,Tidak
223,N/A,Tri Haryanto,5,2 bulan lalu,"Pertama kali kesini, brownies dan matchanya balance banget",N/A,Tidak
224,N/A,Sabila Budianti,5,2 bulan lalu,Pertandingan sungguhanaaa,N/A,Tidak
225,N/A,Hanifah Hidayati,5,2 bulan lalu,"Suasanya nyaman, bersih, dan semuanya ramah. Matchanya the best",N/A,Tidak
226,N/A,sri han,5,2 bulan lalu,Sangat rekomen bgt,N/A,Tidak
227,N/A,Dimas,5,2 bulan lalu,Bagus bgt tempat nya,N/A,Tidak
228,N/A,k pacar mark,5,2 bulan lalu,"matchanya enak, rekomen gais yg suka matcha",N/A,Tidak
229,N/A,Kiki Nainggolan,5,2 bulan lalu,N/A,N/A,Tidak
230,N/A,alya marsekal,5,2 bulan lalu,"tempat dan suasana yang nyaman, lagu-lagu yang bagus, banyak pilihan minuman",N/A,Tidak
231,N/A,Eleonora Kendra,5,2 bulan lalu,"Tempatnya oke, minuman enak, pelayanan baik",N/A,Tidak
232,N/A,sigmara aldina,5,2 bulan lalu,"semuanya baik-baik saja di sini, suasananya dan pelayanannya ⭐️⭐️",N/A,Tidak
233,N/A,Aulia Annisa,5,2 bulan lalu,matcha seremonial mereka enak banget!!! wajib coba kalau ke jogja!!,N/A,Tidak
234,N/A,Raeshifa Ulhaq,5,2 bulan lalu,tempatnya lucu matchanya enakk aku pesen yang reguler premium dengan oat latte rasanya pas sesuai dan ga terlalu manis oke bangett,N/A,Tidak
235,N/A,Irfan Nur Fauziy,5,2 bulan lalu,N/A,N/A,Tidak
236,N/A,Auliana Rahmasari,5,2 bulan lalu,N/A,N/A,Tidak
237,N/A,Nadia Syafrina,5,2 bulan lalu,Pelayanannya bagus dan rasa matchanya enak,N/A,Tidak
238,N/A,Nisrina Desyandini,5,2 bulan lalu,"Matchanya enak, tidak terlalu manis. varian rasa juga sangat banyak, ada matcha reguler dan ceremonial grade, tempat nyaman dan 24 jam buka.",N/A,Tidak
239,N/A,Biyuzar Robitho,5,2 bulan lalu,enak banget mocinyaaa 10/10,N/A,Tidak
240,N/A,Berlian nada,5,2 bulan lalu,pelayanan yang baik,N/A,Tidak
241,N/A,Stefanni _,5,2 bulan lalu,"Cafe nya cozyy beutt, playlistnya asikk², menu matchanyaa variatiff, ada photoboxnyaa juga buat yang mau mengabadikan momentt bareng bestii. Fixx yg butuh cafe buat nongkrong 24 jam bisa kesinii :)",N/A,Tidak
242,N/A,Muhammad Tangguh,5,2 bulan lalu,"Suasana nya tenang dan nyaman, matcha nya juga matcha banget",N/A,Tidak
243,N/A,Agis Naufal,5,2 bulan lalu,"tempatnya enak cukup luas, matchanya asli bukan yang palsu dan banyak variannya pelayanan sangat ramah",N/A,Tidak
244,N/A,Kayla athaya Shaista,5,2 bulan lalu,matchanya enaak!!! tempat cozy dan pelayanan sangaat ramaaaj sekalii⭐️⭐️⭐️⭐️⭐️,N/A,Tidak
245,N/A,Nilam Atikasari,4,2 bulan lalu,"enakk matchanya, pelayanan ok, harga ada rangenya",N/A,Tidak
246,N/A,Hikari No Nara,5,2 bulan lalu,N/A,N/A,Tidak
247,N/A,sabrina iftina,5,2 bulan lalu,pelayanannya bagus sekali,N/A,Tidak
248,N/A,Aisyah Arrahmah,5,2 bulan lalu,N/A,N/A,Tidak
249,N/A,Raihan Maulidan,5,2 bulan lalu,"tempatnya kekinian banget, matchanya enak tapi memang pahitnya memang kerasa…
pencinta matcha wajib coba😉",N/A,Tidak
250,N/A,Surya Wahyuningtyas,5,2 bulan lalu,"tempatnya aesthetic, nyaman, dan pelayanannya ramah.",N/A,Tidak
251,N/A,Eddissvidelia,5,2 bulan lalu,"super cozy and aesthetic, wajib cobain buat pecinta matcha!! 🤍",N/A,Tidak
252,N/A,sabrina rosalie,5,2 bulan lalu,bagus sekali,N/A,Tidak
253,N/A,Raisya Reisya,5,2 bulan lalu,Asikkk,N/A,Tidak
254,N/A,Nanda Setyaningsih,5,2 bulan lalu,"mas masnya ramah, ngejelasin matcha grade2 nya",N/A,Tidak
255,N/A,Reza Ayu,5,2 bulan lalu,"Excellent service, pelayanan ramah dan helpful. Dijelasin jenis jenis matcha ada gradenya, so far rasanya oke",N/A,Tidak
256,N/A,Elsanda,5,2 bulan lalu,N/A,N/A,Tidak
257,N/A,Aimar __,5,2 bulan lalu,N/A,N/A,Tidak
258,N/A,Annisa Cahyaningrum,5,2 bulan lalu,Suasananya sangat bagus,N/A,Tidak
259,N/A,Alexandra Vania,5,2 bulan lalu,N/A,N/A,Tidak
260,N/A,Panji Jocker,5,2 bulan lalu,Nyaman buat nongkrong the best,N/A,Tidak
261,N/A,Asiyah Azzahra,5,2 bulan lalu,Tempat nya nyaman menu nya pun beragam cocok banget apalagi bagi para matcha lover💕 …,N/A,Tidak
262,N/A,Muhammad Rozief,5,2 bulan lalu,Asik,N/A,Tidak
263,N/A,Aqilabayu Pratama,5,2 bulan lalu,N/A,N/A,Tidak
264,N/A,Anindya Candraningtyas,5,2 bulan lalu,N/A,N/A,Tidak
265,N/A,Aqiila Lintang,5,2 bulan lalu,N/A,N/A,Tidak
266,N/A,Rakha Sandry,5,2 bulan lalu,rekomendasi buat tempat nongkrong,N/A,Tidak
267,N/A,novi situmorang,5,2 bulan lalu,Pas buat nyantai! Enakkk,N/A,Tidak
268,N/A,sofia festy,4,2 bulan lalu,N/A,N/A,Tidak
269,N/A,rosa lency,5,2 bulan lalu,N/A,N/A,Tidak
