no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
120,N/A,salsa eka saputri,5,seminggu lalu,rekomen bgt buat nongkii suka bgt pokoknya 🤍💗,N/A,Tidak
121,N/A,Afifah Rahmadani,5,seminggu lalu,rekomen buat nongki😍😍 …,N/A,Tidak
122,N/A,Galang Rampudintar,5,seminggu lalu,N/A,N/A,Tidak
123,N/A,foto video,5,seminggu lalu,ih tempatnya bener bener kalcer gokil lah selalu pengen balik lagi kesinii,N/A,Tidak
124,N/A,elysaa,5,seminggu lalu,N/A,N/A,Tidak
125,N/A,Aqilla Azzahra,5,seminggu lalu,N/A,N/A,Tidak
126,N/A,Najwa Azzahra,5,seminggu lalu,tempatnya baguss pelayanan nyaa ramahhh🫰🏻🫰🏻,N/A,Tidak
127,N/A,its only me Its okeyy,5,seminggu lalu,caffe nya sangat aesthetic dan buka 24jam,N/A,Tidak
128,N/A,Faerosa,5,seminggu lalu,N/A,N/A,Tidak
129,N/A,Oli Ola,5,seminggu lalu,N/A,N/A,Tidak
130,N/A,Ulum Bahrul,5,seminggu lalu,N/A,N/A,Tidak
131,N/A,farizz 176,5,seminggu lalu,N/A,N/A,Tidak
132,N/A,nadinekaylaaa kayla,5,seminggu lalu,N/A,N/A,Tidak
133,N/A,Revania Hermanto,5,seminggu lalu,pelayanan selalu mantep,N/A,Tidak
134,N/A,Nahda Nadia,5,seminggu lalu,Tempatnya nyamann,N/A,Tidak
135,N/A,Muhammad Maulidansyah,5,seminggu lalu,ramah2 staffnya,N/A,Tidak
136,N/A,Nafa Q,5,seminggu lalu,Wanita,N/A,Tidak
137,N/A,ismi riyani,5,seminggu lalu,N/A,N/A,Tidak
138,N/A,Jihan Azizah,5,seminggu lalu,N/A,N/A,Tidak
139,N/A,muhammad Yazid Batubara,5,seminggu lalu,N/A,N/A,Tidak
140,N/A,Fawzan Mangputra Al Ihsan,5,seminggu lalu,Bagus sekali~,N/A,Tidak
141,N/A,Kharisma Langgeng Wijaya,5,seminggu lalu,N/A,N/A,Tidak
142,N/A,Jessy,5,seminggu lalu,N/A,N/A,Tidak
143,N/A,Masayu Fany Shapura,5,seminggu lalu,Tempatnya seru banget!,N/A,Tidak
144,N/A,Aulia Hayatul Husna,5,seminggu lalu,N/A,N/A,Tidak
145,N/A,Alma Arsylynanfath,5,seminggu lalu,Nice place buat nongkrong,N/A,Tidak
146,N/A,JOYA DESTIA,5,seminggu lalu,Tempatnya bagus keren,N/A,Tidak
147,N/A,Sunny Purple,5,seminggu lalu,N/A,N/A,Tidak
148,N/A,Keshia Devina,5,seminggu lalu,tempatnya nyaman,N/A,Tidak
149,N/A,Vega Aura,5,seminggu lalu,N/A,N/A,Tidak
150,N/A,Awalia Putri,5,seminggu lalu,N/A,N/A,Tidak
151,N/A,Shakira Zahrani,5,seminggu lalu,tempatnya bagus untuk foto foto,N/A,Tidak
152,N/A,Namira Nur Siti Aisyah,5,seminggu lalu,"Tempatnya cocok buat foto foto, tempatnya estetik dan nyaman makan dan minuman juga enak",N/A,Tidak
153,N/A,Raihana Aisyah,5,seminggu lalu,Bagus enak dingin ramah suka bagi bagi,N/A,Tidak
154,N/A,Tasya Tasya,5,seminggu lalu,"kerenn,setiap sisi selalu ada spot fotoo🫰🏻🫰🏻🫰🏻",N/A,Tidak
155,N/A,Bintang Putri,5,seminggu lalu,Kalcer abizz,N/A,Tidak
156,N/A,Satria Arezky,5,seminggu lalu,kak ikhsan dan kak aksa maksaihh yaaa,N/A,Tidak
157,N/A,krisna biru,5,seminggu lalu,mas aksa dan ikhsan baik,N/A,Tidak
158,N/A,ambar ambar1929,5,seminggu lalu,barista kak ikshan dan aksa baik baget,N/A,Tidak
159,N/A,Fico robih,5,seminggu lalu,barista nama aksan dan aksa baik,N/A,Tidak
