no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
370,N/A,Lingga Harta,5,2 minggu lalu,N/A,N/A,Tidak
371,N/A,Rendi Doang,5,2 minggu lalu,N/A,N/A,Tidak
372,N/A,cacaa sajahh,5,2 minggu lalu,N/A,N/A,Tidak
373,N/A,dewi atminih,5,2 minggu lalu,pelayanan,N/A,Tidak
374,N/A,shuashumi,5,2 minggu lalu,N/A,N/A,Tidak
375,N/A,Nabillahnurzahra23,5,2 minggu lalu,N/A,N/A,Tidak
376,N/A,Indrawati,5,2 minggu lalu,N/A,N/A,Tidak
377,N/A,vnazfy,5,2 minggu lalu,N/A,N/A,Tidak
378,N/A,Adelluna Kurnia,5,2 minggu lalu,tempatnya cozy bgt,N/A,Tidak
379,N/A,Devan Christian Saputra,5,2 minggu lalu,N/A,N/A,Tidak
380,N/A,Fakih Manarul,5,2 minggu lalu,N/A,N/A,Tidak
381,N/A,Dewi Nur Utami,5,2 minggu lalu,N/A,N/A,Tidak
382,N/A,Novi Yuliyanti,5,2 minggu lalu,N/A,N/A,Tidak
383,N/A,Occ Cch,5,2 minggu lalu,N/A,N/A,Tidak
384,N/A,Maulana Fajar,5,2 minggu lalu,Mantap,N/A,Tidak
385,N/A,Reyfan Ahlul wicaksono,5,2 minggu lalu,N/A,N/A,Tidak
386,N/A,Rado Heraya,5,2 minggu lalu,N/A,N/A,Tidak
387,N/A,Naufal Ikky 111,5,2 minggu lalu,N/A,N/A,Tidak
388,N/A,al fajrinn,5,2 minggu lalu,bagus,N/A,Tidak
389,N/A,Dimas Agus,5,2 minggu lalu,N/A,N/A,Tidak
390,N/A,Imandha Zenki,5,2 minggu lalu,N/A,N/A,Tidak
391,N/A,Kristofora salma Rose takarina,5,2 minggu lalu,N/A,N/A,Tidak
392,N/A,feronika wahyuni,5,2 minggu lalu,Cocok buat ngopi bersama ayang tempatnya nyaman estetik topp🤩 …,N/A,Tidak
393,N/A,Alan Eka,5,2 minggu lalu,N/A,N/A,Tidak
394,N/A,Rizki Amalia Manajemen_C 112,5,2 minggu lalu,N/A,N/A,Tidak
395,N/A,nurahayu pingping,5,2 minggu lalu,N/A,N/A,Tidak
396,N/A,wewete fatimah,5,2 minggu lalu,N/A,N/A,Tidak
397,N/A,rizki amalia,5,2 minggu lalu,N/A,N/A,Tidak
398,N/A,Ulfa fa,5,2 minggu lalu,N/A,N/A,Tidak
399,N/A,Utami Kurniawati Astuti,5,2 minggu lalu,Tempat nongkrong yang nyaman🤟🚀 …,N/A,Tidak
400,N/A,citra puspa,5,2 minggu lalu,Syahdu,N/A,Tidak
