no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
209,N/A,Lisa Salma,5,seminggu lalu,"mampir kesini untuk kongkow karena tempatnya cozy dan menarik banget dari segi desain dan lain sebagainya. order cloud matcha dan cloud coffee sangat creamy lalu rasanya balance juga. matchanya tipekal gak yang terlalu pahit dan dibuat creamy juga jadi aku sangat menikmati. kan nanya ada snack apa enggak ternyata adanya cuma pastry gitu terus nanya sama waiters yang depan kasir yg best seller apa disarankannya cheesecake sama satunya apa lupa terus milih aja cheesecakenya ternyata enak banget, gak terlalu manis gitu sukaaaa deh. waitersnya sangat amat helpful dan easygoing banget. tempatnya cukup lumayan luas ya ada yg indoor ac terus outdoor juga dan lantai 2 jadi bisa milih sesuai selera. ada photobox didepan sebelum pintu masuk tadi kepengen cobain eh ternyata error.",N/A,Tidak
210,N/A,aurora rora,5,seminggu lalu,N/A,N/A,Tidak
211,N/A,Yakik 1440,5,seminggu lalu,nyaman bgt,N/A,Tidak
212,N/A,Denistaimup floren,5,seminggu lalu,N/A,N/A,Tidak
213,N/A,mega anastasya,5,seminggu lalu,N/A,N/A,Tidak
214,N/A,Muhammad Eko Prasetyo,5,seminggu lalu,N/A,N/A,Tidak
215,N/A,Zhuniar Valentino Hafidz,5,seminggu lalu,N/A,N/A,Tidak
216,N/A,Boski Pake y,5,seminggu lalu,N/A,N/A,Tidak
217,N/A,Kinthen Ryan,5,seminggu lalu,N/A,N/A,Tidak
218,N/A,Mhnaenn,5,seminggu lalu,N/A,N/A,Tidak
219,N/A,victorine Ratih K,5,seminggu lalu,"Pengalaman pertama kesini, staffnya ramah2.. Super nyaman 😍😍 …",N/A,Tidak
220,N/A,Azka,5,seminggu lalu,N/A,N/A,Tidak
221,N/A,faiz nuruddin,5,seminggu lalu,N/A,N/A,Tidak
222,N/A,elvina velaniwibowo,5,seminggu lalu,N/A,N/A,Tidak
223,N/A,Farhan Jibran,5,seminggu lalu,suasananya enak poll,N/A,Tidak
224,N/A,raflie gntng,5,seminggu lalu,N/A,N/A,Tidak
225,N/A,Pras Setiyo,5,seminggu lalu,N/A,N/A,Tidak
226,N/A,Ega Saputra,5,seminggu lalu,N/A,N/A,Tidak
227,N/A,Wahyuning,5,seminggu lalu,N/A,N/A,Tidak
228,N/A,Faizal Andriyansyah,5,seminggu lalu,tempatnya rekomend cocok buat yang lagi ngerjain tugas atau nge date,N/A,Tidak
229,N/A,Donny Ardiansah Indraputra,5,seminggu lalu,nyaman,N/A,Tidak
230,N/A,Anggit Abdullah,5,seminggu lalu,N/A,N/A,Tidak
231,N/A,LahManaSayaTau _,5,seminggu lalu,"tempatnya bagus, asik dan karyawannya ramah",N/A,Tidak
232,N/A,33. Vito Mahesa Utomo,5,seminggu lalu,N/A,N/A,Tidak
233,N/A,cherylla zahabian,5,seminggu lalu,N/A,N/A,Tidak
234,N/A,Fatmadewi Lisa,5,seminggu lalu,N/A,N/A,Tidak
235,N/A,Shri Tani,5,seminggu lalu,N/A,N/A,Tidak
236,N/A,Elsha Amelya,5,seminggu lalu,ruang yang nyaman,N/A,Tidak
237,N/A,Aprilia Lia,5,seminggu lalu,Recomended bgt buat gen z ✨ thank u kak aras,N/A,Tidak
238,N/A,Lina,5,seminggu lalu,"recommended bgttttt gaesss, buruan kesiniiii",N/A,Tidak
239,N/A,Elvira Amanda,5,seminggu lalu,tempatnya bgus nyaman pokonya the best🤍🤍🤍,N/A,Tidak
240,N/A,jendral arthray,1,seminggu lalu,"pertama kali kesini malah dapet pengalaman ga enak. management c28 tolong training karyawannya biar lebih aware sama customer. saya tau lagi chaos, tapi memang sudah jobdesc mereka kan sebagai karyawan. kita udah antri kurang lebih 15 menit, tiba-tiba di serobot sama customer lain. dan karyawannya cuma ngelirik kita tanpa nanya pesenan kita apa. padahal udah jelas-jelas di serobot. jadi ga mood banget kesini. akhirnya kita pindah ke c28 malioboro. kalo memang pelayanannya sama aja berarti memang karyawan c28 ini perlu training, semanagementnya!. gimana sih ini, emang sebelum terjun ga ditraining dulu apa?",N/A,Tidak
241,N/A,ganda agung,5,seminggu lalu,N/A,N/A,Tidak
242,N/A,Nabil Nabil123,5,seminggu lalu,N/A,N/A,Tidak
243,N/A,Khairunisa Rinjani,4,seminggu lalu,Bagus !,N/A,Tidak
244,N/A,SD Ardiansyah,5,seminggu lalu,Rekomended bangeet,N/A,Tidak
245,N/A,Fachrian Ramadhan,5,seminggu lalu,worh ith sihh,N/A,Tidak
246,N/A,Fnh1,5,seminggu lalu,"pelayanan nya bagus dan ramah bgtt kakaknya, minuman nya juga enakk poll",N/A,Tidak
247,N/A,Riendri Noya,5,seminggu lalu,N/A,N/A,Tidak
248,N/A,Ell Sayy,5,seminggu lalu,tempatnya enak,N/A,Tidak
249,N/A,Zildjianiko Firdzan Organi,5,seminggu lalu,cozy enak buat nongkrong rame’,N/A,Tidak
250,N/A,slwamutia hasna1205,5,seminggu lalu,N/A,N/A,Tidak
251,N/A,Nur Fitroh,5,seminggu lalu,N/A,N/A,Tidak
252,N/A,4LAN,5,seminggu lalu,tempatnya enak estetik makanan dan minumannya enak,N/A,Tidak
253,N/A,lucky aji,5,seminggu lalu,Tempat nyaa enak minumanya enakkkk,N/A,Tidak
254,N/A,Denia Brian Ardiansyah,5,seminggu lalu,Tempat nya enak minuman nya enak,N/A,Tidak
255,N/A,shasi dwi nuryanto,5,seminggu lalu,"tempatnya bagus, nyaman makannya juga enakk",N/A,Tidak
256,N/A,nasywa fadilla,5,seminggu lalu,"Nyaman tempatnya, makanan enak, pelayanan ramah, gen z abisss",N/A,Tidak
257,N/A,valentina selviana,5,seminggu lalu,"tempatnya nyaman, banyak spot foto, pelayanan juga ramah",N/A,Tidak
258,N/A,agnes yudith sinala lomo,5,seminggu lalu,N/A,N/A,Tidak
259,N/A,aliya putri,5,seminggu lalu,N/A,N/A,Tidak
260,N/A,Intan Nerfina,5,seminggu lalu,N/A,N/A,Tidak
261,N/A,Ahnaf Rakha,5,seminggu lalu,N/A,N/A,Tidak
262,N/A,Azka Ananta,5,seminggu lalu,tempatnya 👍 …,N/A,Tidak
263,N/A,Y Msc,5,seminggu lalu,N/A,N/A,Tidak
264,N/A,aulia rahma,5,seminggu lalu,Tempatnya bagus estetikkk :p,N/A,Tidak
265,N/A,Karina Milga,5,seminggu lalu,"Minuman dan makanan enak, cocok untuk tempat nongkrong bersama teman-teman. Tempatnya estetik dan bagus.",N/A,Tidak
266,N/A,Indah Zaharo,5,seminggu lalu,Makanan dan minumannya enak dan tempatnya nyaman best banget,N/A,Tidak
267,N/A,Kevin 082,5,seminggu lalu,N/A,N/A,Tidak
268,N/A,Zaki Wafa,5,seminggu lalu,N/A,N/A,Tidak
269,N/A,Gilagakmasuk Masuk,5,seminggu lalu,N/A,N/A,Tidak
270,N/A,REPZTURUDEKK Hahayy,5,seminggu lalu,N/A,N/A,Tidak
271,N/A,yogzzevogun 16,5,seminggu lalu,N/A,N/A,Tidak
272,N/A,Diky Indra Atmaja,5,seminggu lalu,Mantapp syahdu🥰,N/A,Tidak
273,N/A,Marcelinus Doan Dimas C H,5,seminggu lalu,N/A,N/A,Tidak
274,N/A,Benedictus Dagomis,5,seminggu lalu,Tempat nyaman buat nongkrong,N/A,Tidak
275,N/A,Arya Duta,5,seminggu lalu,N/A,N/A,Tidak
276,N/A,Linggar Halisaa,5,seminggu lalu,N/A,N/A,Tidak
277,N/A,Ganiy D bagaskara,5,seminggu lalu,N/A,N/A,Tidak
278,N/A,Ahmad Afif,5,seminggu lalu,"Tempatnya nyaman, pelayanannya mantapp",N/A,Tidak
279,N/A,saya Raras,5,seminggu lalu,"tempatnya bagus, pelayanannya juga oke",N/A,Tidak
280,N/A,sop buntut,5,seminggu lalu,Wifinya kencang sekali,N/A,Tidak
281,N/A,Kiwil art.,5,seminggu lalu,semua layanan baik semua,N/A,Tidak
282,N/A,Albaa,5,seminggu lalu,tempatnya modern dan elegant cocok banget pokoknya,N/A,Tidak
283,N/A,saber ansel,5,seminggu lalu,N/A,N/A,Tidak
284,N/A,Atha albaqi,5,seminggu lalu,baguss nyaman,N/A,Tidak
285,N/A,raa pxm,5,seminggu lalu,playanan nya kak aras baik dan ramah,N/A,Tidak
286,N/A,ALE,5,seminggu lalu,N/A,N/A,Tidak
287,N/A,RKT ZAKI,5,seminggu lalu,kalcer banget let,N/A,Tidak
288,N/A,Vidia Putri,5,seminggu lalu,N/A,N/A,Tidak
289,N/A,Baha Bahapratama,5,seminggu lalu,N/A,N/A,Tidak
290,N/A,kristi agst,5,seminggu lalu,N/A,N/A,Tidak
291,N/A,rio apriyanto (rio),5,seminggu lalu,N/A,N/A,Tidak
292,N/A,Amin Naufal,5,seminggu lalu,N/A,N/A,Tidak
293,N/A,Manuel Ronald Suryantono,5,seminggu lalu,N/A,N/A,Tidak
294,N/A,Jean Alexsander Caesar,5,seminggu lalu,N/A,N/A,Tidak
295,N/A,Kerja Edwar,5,seminggu lalu,N/A,N/A,Tidak
296,N/A,Rafi Akhbar,5,seminggu lalu,N/A,N/A,Tidak
297,N/A,cantik,5,seminggu lalu,"buat nongkrong pw banget,hm rame banget ya",N/A,Tidak
298,N/A,Zahra Nur Azizah,1,seminggu lalu,this place was nice sampai akhirnya parkirnya 10k like… YOOOO!! umr jogja aja brp woi parkir sekejap aje bayar banyak macam tu like pls la bro maybe it sounds like medit but for me 10k js for parkir is too much… pls la be kind. kopi udh overprice masa parkirnya juga…,N/A,Tidak
299,N/A,Company Muhammad Dzaki Abdillah,5,seminggu lalu,N/A,N/A,Tidak
300,N/A,Nisa Isnaeny,5,seminggu lalu,N/A,N/A,Tidak
301,N/A,Enno Bayu Syahputra,5,seminggu lalu,N/A,N/A,Tidak
302,N/A,Zora Nico,5,seminggu lalu,N/A,N/A,Tidak
303,N/A,Revanno 112,5,seminggu lalu,N/A,N/A,Tidak
304,N/A,Farhan iqbal,5,seminggu lalu,N/A,N/A,Tidak
305,N/A,20_ Vincentius Kevin Andriyanto,5,seminggu lalu,pelayanannya bagus dan ramah,N/A,Tidak
