username,comment,time,tokens,cleaned_tokens,filtered_tokens
@arifalmuhamad9343,"kita liat aja biasanya yg abis podcastnya om ded, selang 3 minggu ke ciduk 😂😂😂",9 jam yang lalu,"['kita', 'liat', 'aja', 'biasanya', 'yg', 'abis', 'podcastnya', 'om', 'ded', ',', 'selang', '3', 'minggu', 'ke', 'ciduk', '😂😂😂']","['kita', 'liat', 'aja', 'biasanya', 'yg', 'abis', 'podcastnya', 'om', 'ded', 'selang', '3', 'minggu', 'ke', 'ciduk']","['liat', 'aja', 'yg', 'abis', 'podcastnya', 'om', 'ded', 'selang', '3', 'minggu', 'ciduk']"
@afandisafaraz9354,ngawur... 😅,3 jam yang lalu,"['ngawur', '...', '😅']",['ngawur'],['ngawur']
@firmania6185,awas dedy cepu,2 jam yang lalu,"['awas', 'dedy', 'cepu']","['awas', 'dedy', 'cepu']","['awas', 'dedy', 'cepu']"
@m.dirgantarawibawa1453,ap lagi tni😂,2 hari yang lalu,"['ap', 'lagi', 'tni😂']","['ap', 'lagi', 'tni']","['ap', 'tni']"
@andshndrx,nangkep. nang-kep.,2 hari yang lalu,"['nangkep', '.', 'nang-kep', '.']","['nangkep', 'nangkep']","['nangkep', 'nangkep']"
@zainalabidin-ln2ry,"masalahnya kita gaamu di ajak pemerintah, karena kita tau apa yang akan trjadi. kita tidak bebas😂",1 hari yang lalu,"['masalahnya', 'kita', 'gaamu', 'di', 'ajak', 'pemerintah', ',', 'karena', 'kita', 'tau', 'apa', 'yang', 'akan', 'trjadi', '.', 'kita', 'tidak', 'bebas😂']","['masalahnya', 'kita', 'gaamu', 'di', 'ajak', 'pemerintah', 'karena', 'kita', 'tau', 'apa', 'yang', 'akan', 'trjadi', 'kita', 'tidak', 'bebas']","['gaamu', 'ajak', 'pemerintah', 'tau', 'trjadi', 'bebas']"
@ifayvhae,penjahat yang sesungguhnya ya emang mereka kok,2 hari yang lalu,"['penjahat', 'yang', 'sesungguhnya', 'ya', 'emang', 'mereka', 'kok']","['penjahat', 'yang', 'sesungguhnya', 'ya', 'emang', 'mereka', 'kok']","['penjahat', 'sesungguhnya', 'emang']"
@clarralloverra1573,😂😂😂😂,2 hari yang lalu,['😂😂😂😂'],[],[]
@ramz1,🤣😂,1 hari yang lalu,['🤣😂'],[],[]
@ichsan1st,"ngarangnya kebangetan, kalau emang bisa nyetor tiap bulan puluhan juta ngapain gak cabut aja ke ln, masih bisa hidup nyantai",1 hari yang lalu,"['ngarangnya', 'kebangetan', ',', 'kalau', 'emang', 'bisa', 'nyetor', 'tiap', 'bulan', 'puluhan', 'juta', 'ngapain', 'gak', 'cabut', 'aja', 'ke', 'ln', ',', 'masih', 'bisa', 'hidup', 'nyantai']","['ngarangnya', 'kebangetan', 'kalau', 'emang', 'bisa', 'nyetor', 'tiap', 'bulan', 'puluhan', 'juta', 'ngapain', 'gak', 'cabut', 'aja', 'ke', 'ln', 'masih', 'bisa', 'hidup', 'nyantai']","['ngarangnya', 'kebangetan', 'emang', 'nyetor', 'puluhan', 'juta', 'ngapain', 'gak', 'cabut', 'aja', 'ln', 'hidup', 'nyantai']"
@heyradit,"halu lu, hacker mana ada yg mau kerjasama apalagi sama polis wkwkw udah gitu mereka ngehacker apaan setor puluhan juta ? duit ? bank ? rekening ? dongo banget itu hacker bisa ketangkep bukan hacker namanya kalo ketangkep apalagi kerjasama suruh nebus wkwkwk sumpah ngakak",1 hari yang lalu,"['halu', 'lu', ',', 'hacker', 'mana', 'ada', 'yg', 'mau', 'kerjasama', 'apalagi', 'sama', 'polis', 'wkwkw', 'udah', 'gitu', 'mereka', 'ngehacker', 'apaan', 'setor', 'puluhan', 'juta', '?', 'duit', '?', 'bank', '?', 'rekening', '?', 'dongo', 'banget', 'itu', 'hacker', 'bisa', 'ketangkep', 'bukan', 'hacker', 'namanya', 'kalo', 'ketangkep', 'apalagi', 'kerjasama', 'suruh', 'nebus', 'wkwkwk', 'sumpah', 'ngakak']","['halu', 'lu', 'hacker', 'mana', 'ada', 'yg', 'mau', 'kerjasama', 'apalagi', 'sama', 'polis', 'wkwkw', 'udah', 'gitu', 'mereka', 'ngehacker', 'apaan', 'setor', 'puluhan', 'juta', 'duit', 'bank', 'rekening', 'dongo', 'banget', 'itu', 'hacker', 'bisa', 'ketangkep', 'bukan', 'hacker', 'namanya', 'kalo', 'ketangkep', 'apalagi', 'kerjasama', 'suruh', 'nebus', 'wkwkwk', 'sumpah', 'ngakak']","['halu', 'lu', 'hacker', 'yg', 'kerjasama', 'polis', 'wkwkw', 'udah', 'gitu', 'ngehacker', 'setor', 'puluhan', 'juta', 'duit', 'bank', 'rekening', 'dongo', 'banget', 'hacker', 'ketangkep', 'hacker', 'namanya', 'kalo', 'ketangkep', 'kerjasama', 'suruh', 'nebus', 'wkwkwk', 'sumpah', 'ngakak']"
@ichsan1st," @heyradit  wwkwkk paling juga scammer script kiddie, sc hasil download",1 hari yang lalu,"['@', 'heyradit', 'wwkwkk', 'paling', 'juga', 'scammer', 'script', 'kiddie', ',', 'sc', 'hasil', 'download']","['heyradit', 'wwkwkk', 'paling', 'juga', 'scammer', 'script', 'kiddie', 'sc', 'hasil', 'download']","['heyradit', 'wwkwkk', 'scammer', 'script', 'kiddie', 'sc', 'hasil', 'download']"
@heyradit,"​ @ichsan1st temen nye dia itu ya halo dek , disuruh setor senior tiap bulan kalo enggak di mutasi, mau gak mau ngehack sertifikat sawah bapaknye jadi duit wkwkwk",1 hari yang lalu,"['\u200b', '@', 'ichsan1st', 'temen', 'nye', 'dia', 'itu', 'ya', 'halo', 'dek', ',', 'disuruh', 'setor', 'senior', 'tiap', 'bulan', 'kalo', 'enggak', 'di', 'mutasi', ',', 'mau', 'gak', 'mau', 'ngehack', 'sertifikat', 'sawah', 'bapaknye', 'jadi', 'duit', 'wkwkwk']","['ichsan1st', 'temen', 'nye', 'dia', 'itu', 'ya', 'halo', 'dek', 'disuruh', 'setor', 'senior', 'tiap', 'bulan', 'kalo', 'enggak', 'di', 'mutasi', 'mau', 'gak', 'mau', 'ngehack', 'sertifikat', 'sawah', 'bapaknye', 'jadi', 'duit', 'wkwkwk']","['ichsan1st', 'temen', 'nye', 'halo', 'dek', 'disuruh', 'setor', 'senior', 'kalo', 'mutasi', 'gak', 'ngehack', 'sertifikat', 'sawah', 'bapaknye', 'duit', 'wkwkwk']"
@osamasaeni,lah sama bang,1 hari yang lalu,"['lah', 'sama', 'bang']","['lah', 'sama', 'bang']",['bang']
@omagaaat,​ @osamasaeni banyak buzzer 🗿,1 hari yang lalu,"['\u200b', '@', 'osamasaeni', 'banyak', 'buzzer', '🗿']","['osamasaeni', 'banyak', 'buzzer']","['osamasaeni', 'buzzer']"
@pesmobile-lh5fs,lah orang lokal disepelein apalagi orang asing,2 hari yang lalu,"['lah', 'orang', 'lokal', 'disepelein', 'apalagi', 'orang', 'asing']","['lah', 'orang', 'lokal', 'disepelein', 'apalagi', 'orang', 'asing']","['orang', 'lokal', 'disepelein', 'orang', 'asing']"
@elsasari-u6x,"dikira wna thailand, polisi disini gercep kyk di negara asalnya kali yaa

ehhh malah dipalakin juga",2 hari yang lalu,"['dikira', 'wna', 'thailand', ',', 'polisi', 'disini', 'gercep', 'kyk', 'di', 'negara', 'asalnya', 'kali', 'yaa', 'ehhh', 'malah', 'dipalakin', 'juga']","['dikira', 'wna', 'thailand', 'polisi', 'disini', 'gercep', 'kyk', 'di', 'negara', 'asalnya', 'kali', 'yaa', 'ehhh', 'malah', 'dipalakin', 'juga']","['wna', 'thailand', 'polisi', 'gercep', 'kyk', 'negara', 'asalnya', 'kali', 'yaa', 'ehhh', 'dipalakin']"
